"Nicho","Nome","Endereço","Telefone","WhatsApp","Origem"
"Arquiteto","Lima Castro Arquitetura","R. Dr. João Batista Lobato, 448 - Centro, Itapetininga - SP, 18200-352, Brasil","1532727783","Não","Coletada"
"Arquiteto","Calisto & Orsi Arquitetura","R. Sulpizio Colombo, 286 - Jardim Colombo, Itapetininga - SP, 18206-440, Brasil","15996977271","Sim","Coletada"
"Arquiteto","Rita Costa Arquitetura-40 anos com projetos inovadores.","R. Francisco Rodrigues Junior, 220 - Vila Barth, Itapetininga - SP, 18207-184, Brasil","15997893451","Sim","Coletada"
"Arquiteto","Eduardo Monteiro — Arquitetura, Urbanismo e Construção","R. Pedro Marquês, 531 - Centro, Itapetininga - SP, 18200-270, Brasil","15981237349","Sim","Coletada"
